lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,c1_mu.1,c1_mu.2,c2_mu.1,c2_mu.2,z_mu.1,z_mu.2,c1_r.1,c1_r.2,c2_r.1,c2_r.2,z_r.1,z_r.2,A_mu.1.1.1,A_mu.2.1.1,A_mu.1.2.1,A_mu.2.2.1,A_mu.1.1.2,A_mu.2.1.2,A_mu.1.2.2,A_mu.2.2.2,A_r.1.1.1,A_r.2.1.1,A_r.1.2.1,A_r.2.2.1,A_r.1.1.2,A_r.2.1.2,A_r.1.2.2,A_r.2.2.2,MU.1.1.1,MU.2.1.1,MU.1.2.1,MU.2.2.1,MU.1.1.2,MU.2.1.2,MU.1.2.2,MU.2.2.2,R.1.1.1,R.2.1.1,R.1.2.1,R.2.2.1,R.1.1.2,R.2.1.2,R.1.2.2,R.2.2.2,mu_t.1,mu_t.2,mu_s.1,mu_s.2,r_t.1,r_t.2,r_s.1,r_s.2
# Adaptation terminated
# Step size = 0.187433
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2805.6,0.974169,0.187433,4,15,0,-2798.27,6.01255,9.05977,1.91215,2.75971,0.0562627,1.39345,2.44399,2.30688,2.33099,8.62823,-0.736921,1.07293,2.45205,3.00995,0.0562627,1.39345,0,0,1.38281,1.66124,1.56333,1.51884,-0.736921,1.07293,0,0,1.52676,2.93739,60.1255,90.5977,57.4764,99.2118,57.4764,99.2118,56.856,111.405,2.44399,2.30688,1.95426,2.70382,1.95426,2.70382,1.79576,4.0319,60.1255,90.5977,56.856,111.405,2.44399,2.30688,1.79576,4.0319
2803.68,0.980737,0.187433,4,15,0,-2799.1,8.74734,8.93547,4.05403,18.7684,-0.216859,0.549902,1.90098,7.35793,2.98129,5.40111,-0.418828,1.29089,2.95759,2.98923,-0.216859,0.549902,0,0,2.01346,4.33225,1.37876,2.71255,-0.418828,1.29089,0,0,1.72664,2.32403,87.4734,89.3547,80.9564,89.9674,80.9564,89.9674,78.9789,109.353,1.90098,7.35793,1.62082,8.08765,1.62082,8.08765,1.68007,9.42986,87.4734,89.3547,78.9789,109.353,1.90098,7.35793,1.68007,9.42986
2803.91,0.862122,0.187433,4,15,0,-2797.52,7.06503,10.9086,6.29101,7.74959,-0.759008,0.298145,1.31349,7.20524,3.56325,2.44184,0.352457,1.66243,2.65801,3.30281,-0.759008,0.298145,0,0,2.50819,2.78381,1.14607,2.68426,0.352457,1.66243,0,0,1.88766,1.56264,70.6503,109.086,60.645,106.602,60.645,106.602,58.3477,111.924,1.31349,7.20524,1.37382,8.24662,1.37382,8.24662,1.79325,9.6827,70.6503,109.086,58.3477,111.924,1.31349,7.20524,1.79325,9.6827
2805.42,0.999896,0.187433,4,15,0,-2800.57,5.21082,6.21918,3.20554,2.38971,3.46067,1.91983,7.38104,4.15111,4.35216,2.33464,0.693646,-0.473125,2.28272,2.49383,3.46067,1.91983,0,0,1.7904,1.54587,2.71681,2.03743,0.693646,-0.473125,0,0,2.08618,1.52795,52.1082,62.1918,74.4154,74.1404,74.4154,74.1404,109.478,90.7744,7.38104,4.15111,7.5982,3.63325,7.5982,3.63325,8.25697,3.41347,52.1082,62.1918,109.478,90.7744,7.38104,4.15111,8.25697,3.41347
2805.66,0.851221,0.187433,4,15,0,-2800.69,8.36954,7.64088,11.297,6.87188,2.11707,0.690433,3.27196,7.64908,4.67598,5.54003,0.805354,-0.735027,2.89302,2.76421,2.11707,0.690433,0,0,3.3611,2.62143,1.80886,2.7657,0.805354,-0.735027,0,0,2.1624,2.35373,83.6954,76.4088,98.7684,78.5229,98.7684,78.5229,127.853,87.5675,3.27196,7.64908,3.56473,6.61371,3.56473,6.61371,4.35128,6.27249,83.6954,76.4088,127.853,87.5675,3.27196,7.64908,4.35128,6.27249
2802.93,0.948015,0.187433,4,15,0,-2799.25,9.93705,7.30427,7.80726,4.03581,1.91841,2.04273,8.11819,4.16251,7.83317,5.65988,1.0412,-1.04861,3.15231,2.70264,1.91841,2.04273,0,0,2.79415,2.00893,2.84924,2.04022,1.0412,-1.04861,0,0,2.79878,2.37905,99.3705,73.0427,113.395,86.7526,113.395,86.7526,137.206,107.072,8.11819,4.16251,8.63972,3.27237,8.63972,3.27237,9.97808,3.13857,99.3705,73.0427,137.206,107.072,8.11819,4.16251,9.97808,3.13857
2805.66,1,0.187433,4,15,0,-2801.49,6.47061,9.32473,1.41082,6.05988,-0.130347,0.328523,3.99552,2.36583,1.42902,3.41584,-1.08245,0.710311,2.54374,3.05364,-0.130347,0.328523,0,0,1.18778,2.46168,1.99888,1.53813,-1.08245,0.710311,0,0,1.19541,1.8482,64.7061,93.2473,60.3371,91.6345,60.3371,91.6345,57.6739,96.1095,3.99552,2.36583,3.10626,2.58992,3.10626,2.58992,2.55782,3.17682,64.7061,93.2473,57.6739,96.1095,3.99552,2.36583,2.55782,3.17682
2805.76,0.970473,0.187433,4,15,0,-2800.6,7.22025,10.9068,4.4503,2.71803,0.417305,0.241693,3.0568,7.1003,2.90234,0.9209,-1.46279,0.454886,2.68705,3.30255,0.417305,0.241693,0,0,2.10957,1.64864,1.74837,2.66464,-1.46279,0.454886,0,0,1.70363,0.959635,72.2025,109.068,72.0432,105.995,72.0432,105.995,76.3346,105.727,3.0568,7.1003,2.09119,7.11924,2.09119,7.11924,1.72083,7.23032,72.2025,109.068,76.3346,105.727,3.0568,7.1003,1.72083,7.23032
2802.51,0.995955,0.187433,4,31,0,-2800.14,8.34279,8.14673,0.800491,11.0495,0.55419,1.16058,4.10009,2.95617,3.96073,0.331061,0.248031,1.16061,2.88839,2.85425,0.55419,1.16058,0,0,0.894702,3.32408,2.02487,1.71935,0.248031,1.16061,0,0,1.99016,0.575379,83.4279,81.4673,84.2085,87.762,84.2085,87.762,85.797,105.593,4.10009,2.95617,4.04851,3.4355,4.04851,3.4355,4.39365,4.02565,83.4279,81.4673,85.797,105.593,4.10009,2.95617,4.39365,4.02565
2801.98,0.872552,0.187433,4,15,0,-2798.24,4.74334,9.35442,1.09205,2.83744,0.59975,0.748922,3.94085,9.88042,5.92236,0.336494,-0.686264,0.664303,2.17792,3.0585,0.59975,0.748922,0,0,1.04501,1.68447,1.98516,3.14331,-0.686264,0.664303,0,0,2.43359,0.580081,47.4334,93.5442,49.1298,95.9872,49.1298,95.9872,51.979,101.332,3.94085,9.88042,3.30781,10.0337,3.30781,10.0337,3.36869,10.223,47.4334,93.5442,51.979,101.332,3.94085,9.88042,3.36869,10.223
